DEPARTAMENTO;ARMA;FECHA;GENERO;POBLACION;
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;23/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;26/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA BLANCA / CORTOPUNZANTE;3/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;2/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;6/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;6/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;11/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;14/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;2/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;7/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;10/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;16/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;1/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;24/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;7/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;9/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA BLANCA / CORTOPUNZANTE;15/01/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA BLANCA / CORTOPUNZANTE;2/02/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA BLANCA / CORTOPUNZANTE;6/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;1/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;6/01/2022;FEMENINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;21/01/2022;FEMENINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;23/01/2022;FEMENINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;3/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;9/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA BLANCA / CORTOPUNZANTE;13/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;18/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;5/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;10/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;2/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;3/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;10/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;14/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;18/01/2022;FEMENINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;18/01/2022;MASCULINO;ADOLESCENTES;
ANTIOQUIA;ARMA DE FUEGO;29/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;17/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;18/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;28/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;7/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;6/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;ARMA DE FUEGO;6/02/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;21/02/2022;FEMENINO;ADULTOS;
CAUCA;ARMA DE FUEGO;4/01/2022;FEMENINO;ADULTOS;
CAUCA;ARMA DE FUEGO;6/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;7/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;8/01/2022;FEMENINO;ADULTOS;
CAUCA;ARMA DE FUEGO;8/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;19/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;25/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;29/01/2022;FEMENINO;ADULTOS;
CAUCA;ARMA DE FUEGO;30/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;11/02/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;24/02/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;13/01/2022;MASCULINO;ADULTOS;
CAUCA;ARMA DE FUEGO;5/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;2/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;3/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;5/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;9/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;9/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;12/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;13/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;13/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;14/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;16/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;21/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;24/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;27/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;28/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;29/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;2/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;5/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;6/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;7/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;7/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;8/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;9/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;10/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;11/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;13/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;19/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;22/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;23/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;25/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;20/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;24/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;22/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;28/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;29/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;15/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;17/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;7/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;ARMA DE FUEGO;2/02/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;28/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;20/02/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;23/02/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;26/02/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;15/02/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;11/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;19/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;13/02/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;19/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;13/02/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;17/02/2022;FEMENINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;8/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;30/01/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;16/02/2022;MASCULINO;ADULTOS;
TOLIMA;ARMA DE FUEGO;1/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;16/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;19/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;25/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;8/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;13/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;15/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;16/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;21/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;24/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;26/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;29/01/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;29/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;1/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;6/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;7/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;9/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;22/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;25/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;25/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;26/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;19/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;12/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;23/01/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;10/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;1/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;19/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;13/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;26/02/2022;FEMENINO;ADULTOS;
VALLE;ARMA DE FUEGO;20/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;27/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;12/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;21/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;24/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;30/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;3/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;5/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;14/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;31/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;3/02/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;11/01/2022;MASCULINO;ADULTOS;
VALLE;ARMA DE FUEGO;24/02/2022;FEMENINO;MENORES;
VALLE;ARMA DE FUEGO;2/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;23/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;11/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;16/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;1/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;20/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;6/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;19/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;8/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;4/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;10/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;11/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;1/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;2/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;5/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;6/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;8/01/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;14/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;15/01/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;22/01/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;9/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;14/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;22/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;9/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;2/02/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;19/02/2022;FEMENINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;27/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;31/01/2022;MASCULINO;ADULTOS;
ANTIOQUIA;CONTUNDENTES;24/02/2022;FEMENINO;ADULTOS;
CAUCA;CONTUNDENTES;23/01/2022;MASCULINO;ADULTOS;
CAUCA;CONTUNDENTES;10/02/2022;FEMENINO;ADULTOS;
CAUCA;CONTUNDENTES;9/01/2022;MASCULINO;ADULTOS;
CAUCA;CONTUNDENTES;14/01/2022;FEMENINO;ADULTOS;
CAUCA;CONTUNDENTES;27/01/2022;FEMENINO;ADULTOS;
CAUCA;CONTUNDENTES;26/02/2022;FEMENINO;ADULTOS;
CAUCA;CONTUNDENTES;24/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;2/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;5/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;6/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;6/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;10/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;14/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;14/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;15/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;16/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;19/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;20/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;22/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;23/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;24/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;25/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;25/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;30/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;31/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;6/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;11/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;14/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;15/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;16/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;16/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;18/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;18/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;19/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;23/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;23/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;24/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;24/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;25/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;26/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;26/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;27/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;14/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;14/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;11/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;27/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;11/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;19/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;22/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;24/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;12/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;18/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;5/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;1/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;17/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;22/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;11/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;4/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;26/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;6/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;13/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;15/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;18/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;19/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;25/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;29/01/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;3/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;5/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;5/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;8/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;10/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;20/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;21/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;23/02/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;25/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;27/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;7/01/2022;MASCULINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;28/02/2022;FEMENINO;ADULTOS;
CUNDINAMARCA;CONTUNDENTES;9/01/2022;FEMENINO;ADULTOS;
